"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1096","2","60","166","19.9956254106036","-33.9912508212072","0.292252688196456","205.301789934836","233.843094975339","2"
"1097","cds-hnc","2","60","166",NA,NA,NA,"0.572930000842351","-14.0830810777658"
"1098","cds-hrp","2","60","166",NA,NA,NA,"0.20763266985472","-34.5548127550348"
"1099","2","60","167","12.2303101853744","-18.4606203707487","0.024679209189305","2431.19621620622","233.843094975339","2"
"1100","cds-hnc","2","60","167",NA,NA,NA,"0.579191977491285","-15.3600852163781"
"1101","cds-hrp","2","60","167",NA,NA,NA,"0.390392896733456","-15.5958818758284"
"1102","2","60","168","23.4408421586429","-36.8816843172858","0.186306334387042","322.050241594861","233.843094975339","3"
"1103","cds-hnc","2","60","168",NA,NA,NA,"0.483018532541857","-29.9152122431432"
"1104","cds-hrp","2","60","168",NA,NA,NA,"0.220984505900806","-38.508404103788"
"1105","2","60","169","24.2046619938977","-42.4093239877953","0.134578352199887","445.836934538202","233.843094975339","2"
"1106","cds-hnc","2","60","169",NA,NA,NA,"0.459966736613039","-34.5424233286582"
"1107","cds-hrp","2","60","169",NA,NA,NA,"0.567331233493118","-21.9754931982598"
"1108","2","60","170","11.4620493434884","-20.9240986869767","0.536772449028344","111.779209437092","233.843094975339","1"
"1109","cds-hnc","2","60","170",NA,NA,NA,"0.536772360858822","-20.9240986869742"
"1110","cds-hrp","2","60","170",NA,NA,NA,"0.42480614479558","-21.5920374548579"
"1111","2","60","171","21.13386382027","-36.26772764054","0.303960842051871","197.393847164567","233.843094975339","2"
"1112","cds-hnc","2","60","171",NA,NA,NA,"0.479944988887702","-30.5036473317041"
"1113","cds-hrp","2","60","171",NA,NA,NA,"0.331128683144082","-36.75698503611"
